kabupatenkota,jumlahRs,rsRujukan,pdp,pdpRawat,pdpDipantau,pdpPulang,pdpMeninggal,labNegatif,odp,odpProses,odpSelesai,positifRawat,positifSembuh,positifDipantau,positifMeninggal,negatifMeninggal,jumlahDiperiksaLab,labPositif,meninggalProsesLab,jumlahProsesLab,updateDate,latitude,longitude
ACEH SELATAN,0,0,0,0,0,0,0,0,12,5,7,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,3.311506,97.351656
ACEH TENGGARA,0,0,0,0,0,0,0,0,35,8,27,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,3.480296,97.812092
ACEH TIMUR,0,0,2,0,0,2,0,0,63,16,47,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,4.522411,97.611422
ACEH TENGAH,0,0,0,0,0,0,0,0,19,3,16,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,4.448264,96.8351
ACEH BARAT,0,0,1,0,0,1,0,0,15,3,12,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,4.454274,96.152699
ACEH BESAR,0,0,14,0,0,14,0,0,116,38,78,0,2,0,0,0,0,2,0,0,2020-04-12T15:00:00,5.452917,95.477781
PIDIE,0,0,9,1,0,8,0,0,22,6,16,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,5.440046,95.8437533
ACEH UTARA,0,0,2,0,0,1,1,0,108,26,82,0,0,0,0,1,0,0,0,0,2020-04-12T15:00:00,5.051701,97.318123
SIMEULUE,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,2.643972,96.025574
ACEH SINGKIL,0,0,1,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,2.358946,97.87216
BIREUEN,0,0,0,0,0,0,0,0,99,26,73,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,5.203784,96.704231
ACEH BARAT DAYA,0,0,1,1,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,3.796343,97.006839
GAYO LUES,0,0,0,0,0,0,0,0,54,37,17,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,3.99672,97.341615
ACEH JAYA,0,0,2,0,0,2,0,0,5,0,5,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,4.787368,95.645795
NAGAN RAYA,0,0,0,0,0,0,0,0,27,11,16,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,4.124841,96.49298
ACEH TAMIANG,0,0,0,0,0,0,0,0,66,4,62,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,4.232887,98.002889
BENER MERIAH,0,0,0,0,0,0,0,0,70,20,50,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,4.751361,96.952522
PIDIE JAYA,0,0,2,0,0,2,0,0,31,6,25,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,5.154806,96.195132
KOTA BANDA ACEH,0,0,18,1,0,17,0,0,528,117,411,1,1,0,0,0,0,2,0,0,2020-04-12T15:00:00,5.555144,95.2830303
KOTA SABANG,0,0,1,0,0,1,0,0,26,22,4,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,5.8427667,95.2715659
KOTA LHOKSEUMAWE,0,0,2,0,0,1,1,0,36,8,28,0,0,0,1,0,0,1,0,0,2020-04-12T15:00:00,5.181164,97.141322
KOTA LANGSA,0,0,0,0,0,0,0,0,21,5,16,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,4.540634,98.0309913
KOTA SUBULUSSALAM,0,0,5,0,0,5,0,0,12,5,7,0,0,0,0,0,0,0,0,0,2020-04-12T15:00:00,2.644993,98.016521
